,city,venue,dow,time,urls
162,(The Colony),The Beachcomber Bar & Grill,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/699862750/trivia-at-The-Beachcomber-Bar-amp-Grill
163,(Fort Worth),The Bucket,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/797613020/trivia-at-The-Bucket
164,(Austin),The Iron Bear,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/57880532/trivia-at-The-Iron-Bear
165,(Houston),The Maple Leaf Pub,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/37239520/trivia-at-The-Maple-Leaf-Pub
166,(Austin),Third Base (South Park Meadows),Saturday,7:30 PM,https://www.geekswhodrink.com/venue/88645817/trivia-at-Third-Base-South-Park-Meadows-
167,(El Paso),Thunderbird Taproom at Whole Foods,Saturday,7:00 PM,https://www.geekswhodrink.com/venue/611452927/trivia-at-Thunderbird-Taproom-at-Whole-Foods
168,(Friendswood),Timeout #4 Sports Bar & Grill,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/888551169/trivia-at-Timeout-4-Sports-Bar-amp-Grill
169,(Austin),Trudy's (North Star),Saturday,7:00 PM,https://www.geekswhodrink.com/venue/624224297/trivia-at-Trudy-s-North-Star-
170,(Cypress),Wicked Boxer Brewing,Saturday,7:00 PM,https://www.geekswhodrink.com/venue/853683605/trivia-at-Wicked-Boxer-Brewing
171,(The Woodlands),Woodson's Local Tap + Kitchen,Saturday,8:00 PM,https://www.geekswhodrink.com/venue/790870532/trivia-at-Woodson-s-Local-Tap-Kitchen
